Frame,Centroid_X,Centroid_Y,Movement (pixels)
0,213,161,0
1,213,161,0.0
2,213,161,0.0
3,213,161,0.0
4,213,161,0.0
5,213,161,0.0
6,213,161,0.0
7,213,161,0.0
8,213,161,0.0
9,213,161,0.0
10,213,161,0.0
11,213,161,0.0
12,213,161,0.0
13,213,161,0.0
14,213,161,0.0
15,213,161,0.0
16,213,161,0.0
17,213,161,0.0
18,213,161,0.0
19,213,161,0.0
20,213,161,0.0
21,213,161,0.0
22,213,161,0.0
23,213,161,0.0
24,212,161,1.0
25,213,161,1.0
26,213,161,0.0
27,213,161,0.0
28,213,161,0.0
29,213,161,0.0
30,213,161,0.0
31,212,161,1.0
32,213,161,1.0
33,213,161,0.0
34,213,161,0.0
35,213,161,0.0
36,213,161,0.0
37,213,161,0.0
38,213,161,0.0
39,213,161,0.0
40,213,161,0.0
41,213,161,0.0
42,213,161,0.0
43,213,161,0.0
44,213,161,0.0
45,213,161,0.0
46,213,161,0.0
47,213,161,0.0
48,213,161,0.0
49,213,161,0.0
50,213,161,0.0
51,213,161,0.0
52,213,161,0.0
53,213,161,0.0
54,213,161,0.0
55,213,161,0.0
56,213,161,0.0
57,213,161,0.0
58,213,161,0.0
59,213,161,0.0
60,213,161,0.0
61,213,161,0.0
62,213,161,0.0
63,213,161,0.0
64,213,161,0.0
65,213,161,0.0
66,213,161,0.0
67,213,161,0.0
68,213,161,0.0
69,213,161,0.0
70,212,161,1.0
71,213,161,1.0
72,213,161,0.0
73,213,161,0.0
74,213,161,0.0
75,213,161,0.0
76,213,161,0.0
77,213,161,0.0
78,213,161,0.0
79,213,161,0.0
80,213,161,0.0
81,213,161,0.0
82,213,161,0.0
83,213,161,0.0
84,213,161,0.0
85,212,161,1.0
86,213,161,1.0
87,213,161,0.0
88,213,161,0.0
89,213,161,0.0
90,213,161,0.0
91,213,161,0.0
92,213,161,0.0
93,213,161,0.0
94,213,161,0.0
95,213,161,0.0
96,213,161,0.0
97,213,161,0.0
98,213,161,0.0
99,213,161,0.0
100,213,161,0.0
101,213,161,0.0
102,213,161,0.0
103,213,161,0.0
104,213,161,0.0
105,213,161,0.0
106,213,161,0.0
107,213,161,0.0
108,213,161,0.0
109,213,161,0.0
110,213,161,0.0
111,213,161,0.0
112,213,161,0.0
113,213,161,0.0
114,213,161,0.0
115,213,161,0.0
116,213,161,0.0
117,213,161,0.0
118,213,161,0.0
119,213,161,0.0
120,213,161,0.0
121,213,161,0.0
122,213,161,0.0
123,213,161,0.0
124,213,161,0.0
125,213,161,0.0
126,212,161,1.0
127,213,161,1.0
128,213,161,0.0
129,213,161,0.0
130,213,161,0.0
131,213,161,0.0
132,213,161,0.0
133,213,161,0.0
134,213,161,0.0
135,213,161,0.0
136,213,161,0.0
137,213,161,0.0
138,213,161,0.0
139,213,161,0.0
140,213,161,0.0
141,213,161,0.0
142,213,161,0.0
143,213,161,0.0
144,213,161,0.0
145,213,161,0.0
146,213,161,0.0
147,213,161,0.0
148,213,161,0.0
149,213,161,0.0
150,213,161,0.0
151,213,161,0.0
152,213,161,0.0
153,213,161,0.0
154,213,161,0.0
155,213,161,0.0
156,213,161,0.0
157,213,161,0.0
158,213,161,0.0
159,213,161,0.0
160,213,161,0.0
161,213,161,0.0
162,213,161,0.0
163,213,161,0.0
164,213,161,0.0
165,213,161,0.0
166,213,161,0.0
167,213,161,0.0
168,213,161,0.0
169,213,161,0.0
170,213,161,0.0
171,213,161,0.0
172,213,161,0.0
173,213,161,0.0
174,213,161,0.0
175,213,161,0.0
176,213,161,0.0
177,213,161,0.0
178,213,161,0.0
179,213,161,0.0
180,213,161,0.0
181,213,161,0.0
182,213,161,0.0
183,213,161,0.0
184,213,161,0.0
185,213,161,0.0
186,213,161,0.0
187,213,161,0.0
188,213,161,0.0
189,213,161,0.0
190,213,161,0.0
191,212,161,1.0
192,213,161,1.0
193,213,161,0.0
194,213,161,0.0
195,213,161,0.0
196,213,161,0.0
197,213,161,0.0
198,213,161,0.0
199,213,161,0.0
200,213,161,0.0
201,212,161,1.0
202,213,161,1.0
203,213,161,0.0
204,213,161,0.0
205,213,161,0.0
206,213,161,0.0
207,213,161,0.0
208,213,161,0.0
209,213,161,0.0
210,213,161,0.0
211,213,161,0.0
212,213,161,0.0
213,213,161,0.0
214,213,161,0.0
215,213,161,0.0
216,213,161,0.0
217,213,161,0.0
218,213,161,0.0
219,212,161,1.0
220,213,161,1.0
221,213,161,0.0
222,213,161,0.0
223,213,161,0.0
224,213,161,0.0
225,212,161,1.0
226,213,161,1.0
227,213,161,0.0
228,213,161,0.0
229,213,161,0.0
230,213,161,0.0
231,212,161,1.0
232,213,161,1.0
233,213,161,0.0
234,213,161,0.0
235,213,161,0.0
236,213,161,0.0
237,213,161,0.0
238,213,161,0.0
239,213,161,0.0
240,212,161,1.0
241,213,161,1.0
242,213,161,0.0
243,213,161,0.0
244,213,161,0.0
245,212,161,1.0
246,213,161,1.0
247,213,161,0.0
248,213,161,0.0
249,213,161,0.0
250,213,161,0.0
251,213,161,0.0
252,213,161,0.0
253,213,161,0.0
254,213,161,0.0
255,213,161,0.0
256,213,161,0.0
257,213,161,0.0
258,213,161,0.0
259,213,161,0.0
260,213,161,0.0
261,213,161,0.0
262,213,161,0.0
263,213,161,0.0
264,213,161,0.0
265,213,161,0.0
266,213,161,0.0
267,213,161,0.0
268,213,161,0.0
269,213,161,0.0
270,213,161,0.0
271,213,161,0.0
272,213,161,0.0
273,213,161,0.0
274,213,161,0.0
275,213,161,0.0
276,213,161,0.0
277,213,161,0.0
278,213,161,0.0
279,213,161,0.0
280,213,161,0.0
281,213,161,0.0
282,213,161,0.0
283,213,161,0.0
284,213,161,0.0
285,213,161,0.0
286,213,161,0.0
287,213,161,0.0
288,212,161,1.0
289,213,161,1.0
290,213,161,0.0
291,213,161,0.0
292,213,161,0.0
293,212,161,1.0
294,212,161,0.0
295,213,161,1.0
296,213,161,0.0
297,213,161,0.0
298,213,161,0.0
299,213,161,0.0
300,213,161,0.0
301,213,161,0.0
302,213,161,0.0
