Frame,Centroid_X,Centroid_Y,Movement_X (dX),Movement_Y (dY),Movement (pixels),Original_FPS,Playback_FPS,Actual_Playback_Time_s,Actual_FPS,Actual_Slowdown_Factor
0,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
1,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
2,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
3,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
4,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
5,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
6,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
7,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
8,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
9,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
10,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
11,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
12,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
13,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
14,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
15,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
16,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
17,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
18,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
19,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
20,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
21,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
22,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
23,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
24,212,161,-1,0,1,226.6728732,30,23.42091322,30,7.555762439
25,213,161,1,0,1,226.6728732,30,23.42091322,30,7.555762439
26,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
27,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
28,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
29,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
30,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
31,212,161,-1,0,1,226.6728732,30,23.42091322,30,7.555762439
32,213,161,1,0,1,226.6728732,30,23.42091322,30,7.555762439
33,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
34,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
35,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
36,213,161,0,0,0,226.6728732,30,23.42091322,30,7.555762439
