DAC_X,DAC_Y,Centroid_X,Centroid_Y,Fixed_Radius_px,Delta_X_pixels,Delta_Y_pixels,Delta_X_microns,Delta_Y_microns,Microns/DAC_X,Microns/DAC_Y
500,2048,842,367,27.12,,,,,,
600,2048,842,367,27.12,0,0,0.0,0.0,0.0,0.0
700,2048,855,366,27.12,13,-1,59.918879056047196,-4.609144542772861,0.5991887905604719,0.04609144542772861
800,2048,854,366,27.12,-1,0,-4.609144542772861,0.0,0.04609144542772861,0.0
900,2048,868,365,27.12,14,-1,64.52802359882006,-4.609144542772861,0.6452802359882006,0.04609144542772861
1000,2048,867,365,27.12,-1,0,-4.609144542772861,0.0,0.04609144542772861,0.0
1100,2048,882,364,27.12,15,-1,69.13716814159291,-4.609144542772861,0.6913716814159291,0.04609144542772861
1200,2048,881,364,27.12,-1,0,-4.609144542772861,0.0,0.04609144542772861,0.0
1300,2048,897,363,27.12,16,-1,73.74631268436578,-4.609144542772861,0.7374631268436578,0.04609144542772861
1400,2048,897,363,27.12,0,0,0.0,0.0,0.0,0.0
1500,2048,913,362,27.12,16,-1,73.74631268436578,-4.609144542772861,0.7374631268436578,0.04609144542772861
1600,2048,913,362,27.12,0,0,0.0,0.0,0.0,0.0
1700,2048,930,360,27.12,17,-2,78.35545722713864,-9.218289085545722,0.7835545722713865,0.09218289085545722
1800,2048,930,360,27.12,0,0,0.0,0.0,0.0,0.0
1900,2048,947,359,27.12,17,-1,78.35545722713864,-4.609144542772861,0.7835545722713865,0.04609144542772861
2000,2048,948,359,27.12,1,0,4.609144542772861,0.0,0.04609144542772861,0.0
2100,2048,964,357,27.12,16,-2,73.74631268436578,-9.218289085545722,0.7374631268436578,0.09218289085545722
2200,2048,964,357,27.12,0,0,0.0,0.0,0.0,0.0
2300,2048,981,356,27.12,17,-1,78.35545722713864,-4.609144542772861,0.7835545722713865,0.04609144542772861
2400,2048,982,356,27.12,1,0,4.609144542772861,0.0,0.04609144542772861,0.0
2500,2048,997,354,27.12,15,-2,69.13716814159291,-9.218289085545722,0.6913716814159291,0.09218289085545722
2600,2048,997,354,27.12,0,0,0.0,0.0,0.0,0.0
2700,2048,1011,353,27.12,14,-1,64.52802359882006,-4.609144542772861,0.6452802359882006,0.04609144542772861
2800,2048,1011,352,27.12,0,-1,0.0,-4.609144542772861,0.0,0.04609144542772861
2900,2048,1023,351,27.12,12,-1,55.309734513274336,-4.609144542772861,0.5530973451327433,0.04609144542772861
3000,2048,1024,351,27.12,1,0,4.609144542772861,0.0,0.04609144542772861,0.0
2048,500,974,451,27.12,,,,,,
2048,600,974,450,27.12,0,-1,0.0,-4.609144542772861,0.0,0.04609144542772861
2048,700,973,450,27.12,-1,0,-4.609144542772861,0.0,0.04609144542772861,0.0
2048,800,973,451,27.12,0,1,0.0,4.609144542772861,0.0,0.04609144542772861
2048,900,974,451,27.12,1,0,4.609144542772861,0.0,0.04609144542772861,0.0
2048,1000,974,451,27.12,0,0,0.0,0.0,0.0,0.0
2048,1100,974,451,27.12,0,0,0.0,0.0,0.0,0.0
2048,1200,974,451,27.12,0,0,0.0,0.0,0.0,0.0
2048,1300,974,451,27.12,0,0,0.0,0.0,0.0,0.0
2048,1400,974,451,27.12,0,0,0.0,0.0,0.0,0.0
2048,1500,974,451,27.12,0,0,0.0,0.0,0.0,0.0
2048,1600,974,451,27.12,0,0,0.0,0.0,0.0,0.0
2048,1700,974,451,27.12,0,0,0.0,0.0,0.0,0.0
2048,1800,974,452,27.12,0,1,0.0,4.609144542772861,0.0,0.04609144542772861
2048,1900,974,452,27.12,0,0,0.0,0.0,0.0,0.0
2048,2000,974,452,27.12,0,0,0.0,0.0,0.0,0.0
2048,2100,974,452,27.12,0,0,0.0,0.0,0.0,0.0
2048,2200,975,452,27.12,1,0,4.609144542772861,0.0,0.04609144542772861,0.0
2048,2300,975,452,27.12,0,0,0.0,0.0,0.0,0.0
2048,2400,975,452,27.12,0,0,0.0,0.0,0.0,0.0
2048,2500,975,452,27.12,0,0,0.0,0.0,0.0,0.0
2048,2600,975,452,27.12,0,0,0.0,0.0,0.0,0.0
2048,2700,975,452,27.12,0,0,0.0,0.0,0.0,0.0
2048,2800,975,452,27.12,0,0,0.0,0.0,0.0,0.0
2048,2900,975,452,27.12,0,0,0.0,0.0,0.0,0.0
2048,3000,975,452,27.12,0,0,0.0,0.0,0.0,0.0
