Frame,Centroid_X,Centroid_Y,Movement (pixels)
0,159,123,0
1,159,122,1.0
2,159,122,0.0
3,159,122,0.0
4,159,123,1.0
5,159,123,0.0
6,159,123,0.0
7,159,122,1.0
8,159,122,0.0
9,159,122,0.0
10,159,122,0.0
11,159,123,1.0
12,159,122,1.0
13,159,122,0.0
14,159,122,0.0
15,159,122,0.0
16,159,122,0.0
17,159,122,0.0
18,159,122,0.0
19,159,123,1.0
20,159,123,0.0
21,159,122,1.0
22,159,123,1.0
23,159,122,1.0
24,159,122,0.0
25,159,123,1.0
26,159,122,1.0
27,159,122,0.0
28,159,122,0.0
29,159,122,0.0
30,159,122,0.0
31,159,122,0.0
32,159,122,0.0
33,159,123,1.0
34,159,122,1.0
35,159,122,0.0
36,159,122,0.0
37,159,122,0.0
38,159,122,0.0
39,159,122,0.0
40,159,122,0.0
41,159,123,1.0
42,159,122,1.0
43,159,122,0.0
44,159,122,0.0
45,159,122,0.0
46,159,122,0.0
47,159,122,0.0
48,159,123,1.0
49,159,122,1.0
50,159,123,1.0
51,159,122,1.0
52,159,122,0.0
53,159,122,0.0
54,159,122,0.0
55,159,123,1.0
56,159,123,0.0
57,159,122,1.0
58,159,122,0.0
59,159,122,0.0
60,159,123,1.0
61,159,123,0.0
62,159,122,1.0
63,159,122,0.0
64,159,122,0.0
65,159,122,0.0
66,159,123,1.0
67,159,123,0.0
68,159,122,1.0
69,159,123,1.0
70,159,122,1.0
71,159,122,0.0
72,159,122,0.0
73,159,122,0.0
74,159,122,0.0
75,159,123,1.0
76,159,122,1.0
77,159,123,1.0
78,159,122,1.0
79,159,122,0.0
80,159,123,1.0
81,159,122,1.0
82,159,122,0.0
83,159,122,0.0
84,159,123,1.0
85,159,123,0.0
86,159,123,0.0
87,159,123,0.0
88,159,122,1.0
89,159,122,0.0
90,159,123,1.0
91,159,122,1.0
92,159,123,1.0
93,159,122,1.0
94,159,122,0.0
95,159,123,1.0
96,159,123,0.0
97,159,122,1.0
98,159,122,0.0
99,159,122,0.0
100,159,123,1.0
101,159,122,1.0
102,159,122,0.0
103,159,122,0.0
104,159,122,0.0
105,159,123,1.0
106,159,122,1.0
107,159,122,0.0
108,159,122,0.0
109,159,122,0.0
110,159,122,0.0
111,159,123,1.0
112,159,123,0.0
113,159,122,1.0
114,159,123,1.0
115,159,122,1.0
116,159,123,1.0
117,159,122,1.0
118,159,122,0.0
119,159,122,0.0
120,159,122,0.0
121,159,122,0.0
122,159,122,0.0
123,159,122,0.0
124,159,122,0.0
125,159,122,0.0
126,159,122,0.0
127,159,122,0.0
128,159,123,1.0
129,159,122,1.0
130,159,123,1.0
131,159,122,1.0
132,159,122,0.0
133,159,123,1.0
134,159,123,0.0
135,159,123,0.0
136,159,123,0.0
137,159,122,1.0
138,159,122,0.0
139,159,122,0.0
140,159,123,1.0
141,159,122,1.0
142,159,123,1.0
143,159,122,1.0
144,159,123,1.0
145,159,122,1.0
146,159,123,1.0
147,159,122,1.0
148,159,122,0.0
149,159,123,1.0
150,159,122,1.0
151,159,123,1.0
152,159,123,0.0
153,159,122,1.0
154,159,122,0.0
155,159,122,0.0
156,159,122,0.0
157,159,123,1.0
158,159,123,0.0
159,159,123,0.0
160,159,122,1.0
161,159,122,0.0
162,159,122,0.0
163,159,123,1.0
164,159,122,1.0
165,159,122,0.0
166,159,123,1.0
167,159,123,0.0
168,159,123,0.0
169,159,122,1.0
170,159,122,0.0
171,159,122,0.0
172,159,122,0.0
173,159,123,1.0
174,159,123,0.0
175,159,122,1.0
176,159,122,0.0
177,159,123,1.0
178,159,123,0.0
179,159,122,1.0
180,159,123,1.0
181,159,122,1.0
182,159,122,0.0
183,159,122,0.0
184,159,122,0.0
185,159,123,1.0
186,159,122,1.0
187,159,123,1.0
188,159,122,1.0
189,159,122,0.0
190,159,122,0.0
191,159,123,1.0
192,159,122,1.0
193,159,122,0.0
194,159,122,0.0
195,159,122,0.0
196,159,122,0.0
197,159,122,0.0
198,159,123,1.0
199,159,122,1.0
200,159,122,0.0
201,159,122,0.0
202,159,123,1.0
203,159,122,1.0
204,159,122,0.0
205,159,122,0.0
206,159,122,0.0
207,159,122,0.0
208,159,122,0.0
209,159,122,0.0
210,159,123,1.0
211,159,123,0.0
212,159,122,1.0
213,159,122,0.0
214,159,122,0.0
215,159,123,1.0
216,159,123,0.0
217,159,122,1.0
218,159,122,0.0
219,159,122,0.0
220,159,122,0.0
221,159,123,1.0
222,159,122,1.0
223,159,122,0.0
224,159,122,0.0
225,159,122,0.0
226,159,122,0.0
227,159,122,0.0
228,159,122,0.0
229,159,122,0.0
230,159,122,0.0
231,159,123,1.0
232,159,123,0.0
233,159,123,0.0
234,159,122,1.0
235,159,122,0.0
236,159,122,0.0
237,159,123,1.0
238,159,122,1.0
239,159,123,1.0
240,159,123,0.0
241,159,122,1.0
242,159,122,0.0
243,159,123,1.0
244,159,123,0.0
245,159,122,1.0
246,159,122,0.0
247,159,122,0.0
248,159,122,0.0
249,159,122,0.0
250,159,122,0.0
251,159,123,1.0
252,159,122,1.0
253,159,122,0.0
