X Coord,Y Coord,Movement X (pixels),Movement Y (pixel),Microns Moved X,Microns Moved Y,X DAC Value,Y DAC Value,Microns Per ADU X,Microns Per ADU Y,Detected Circle Radii (pixel),Detected Pixel Size (microns/pixel),,,,
891,519,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,1.689189189,,,,
891,522,0,3,0,5.067567568,2047,2047,0.04086748,0.430243752,37,1.689189189,,,,
927,143,36,379,60.81081081,640.2027027,559,559,0.027793912,0.420312018,37,1.689189189,,,,
878,884,49,741,82.77027027,1251.689189,3537,3537,0,0.183591807,37,1.689189189,,,,
1204,630,326,254,550.6756757,429.0540541,3537,1200,0.381740875,0.105529149,37,1.689189189,,,,
531,484,673,146,1136.824324,246.6216216,559,3537,0.391646687,0.058951569,37,1.689189189,,,,
876,536,345,52,582.7702703,87.83783784,2047,2047,0.180942864,0,37,1.689189189,,,ave microns/adu x,ave micron.adu Y
721,349,155,187,261.8243243,315.8783784,600,2047,0.016891892,0,37,1.689189189,,,0.188627756,0.210774311
723,349,2,0,3.378378378,0,800,2047,0.118243243,0,37,1.689189189,,,,
737,367,14,18,23.64864865,30.40540541,1000,2047,0.152027027,0,37,1.689189189,,,,
755,387,18,20,30.40540541,33.78378378,1200,2047,0.168918919,0,37,1.689189189,,,,
775,409,20,22,33.78378378,37.16216216,1400,2047,0.185810811,0,37,1.689189189,,,,
797,434,22,25,37.16216216,42.22972973,1600,2047,0.202702703,0,37,1.689189189,,,,
821,461,24,27,40.54054054,45.60810811,1800,2047,0.194256757,0,37,1.689189189,,,,
844,490,23,29,38.85135135,48.98648649,2000,2047,0.211148649,0,37,1.689189189,,,,
869,520,25,30,42.22972973,50.67567568,2200,2047,0.211148649,0,37,1.689189189,,,,
894,551,25,31,42.22972973,52.36486486,2400,2047,0.236486486,0,37,1.689189189,,,,
922,585,28,34,47.2972973,57.43243243,2600,2047,0.261824324,0,37,1.689189189,,,,
953,625,31,40,52.36486486,67.56756757,2800,2047,0.3125,0,37,1.689189189,,,,
990,670,37,45,62.5,76.01351351,3000,2047,0.295608108,0,37,1.689189189,,,,
1025,714,35,44,59.12162162,74.32432432,3200,2047,0.219594595,0,37,1.689189189,,,,
1051,746,26,32,43.91891892,54.05405405,3400,2047,0.049939074,0.382898448,37,1.689189189,,,,
1091,418,40,328,67.56756757,554.0540541,2047,600,0,0.092905405,37,1.689189189,,,,
1098,407,7,11,11.82432432,18.58108108,2047,800,0,0.084459459,37,1.689189189,,,,
1084,417,14,10,23.64864865,16.89189189,2047,1000,0,0.135135135,37,1.689189189,,,,
1064,433,20,16,33.78378378,27.02702703,2047,1200,0,0.160472973,37,1.689189189,,,,
1041,452,23,19,38.85135135,32.09459459,2047,1400,0,0.185810811,37,1.689189189,,,,
1016,474,25,22,42.22972973,37.16216216,2047,1600,0,0.202702703,37,1.689189189,,,,
988,498,28,24,47.2972973,40.54054054,2047,1800,0,0.228040541,37,1.689189189,,,,
956,525,32,27,54.05405405,45.60810811,2047,2000,0,0.236486486,37,1.689189189,,,,
924,553,32,28,54.05405405,47.2972973,2047,2200,0,0.236486486,37,1.689189189,,,,
893,581,31,28,52.36486486,47.2972973,2047,2400,0,0.244932432,37,1.689189189,,,,
860,610,33,29,55.74324324,48.98648649,2047,2600,0,0.253378378,37,1.689189189,,,,
825,640,35,30,59.12162162,50.67567568,2047,2800,0,0.27027027,37,1.689189189,,,,
788,672,37,32,62.5,54.05405405,2047,3000,0,0.244932432,37,1.689189189,,,,
755,701,33,29,55.74324324,48.98648649,2047,3200,0,0.202702703,37,1.689189189,,,,
728,725,27,24,45.60810811,40.54054054,2047,3400,0,1.537162162,37,1.689189189,,,,
895,543,167,182,282.0945946,307.4324324,N/A,N/A,N/A,N/A,37,1.689189189,,,,
