X Coord,Y Coord,Movement X (pixels),Movement Y (pixel),Microns Moved X,Microns Moved Y,X DAC Value,Y DAC Value,Microns Per ADU X,Microns Per ADU Y,Detected Circle Radii (pixel),Detected Pixel Size (microns/pixel),,,
1160,566,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,1.689189189,,,
1026,660,134,94,226.3513514,158.7837838,N/A,N/A,N/A,N/A,37,1.689189189,,,
1130,589,104,71,175.6756757,119.9324324,2047,2047,0.214554272,0.174821999,37,1.689189189,,,
1319,435,189,154,319.2567568,260.1351351,559,559,0.026659467,0,37,1.689189189,,average gain x,
1272,737,47,302,79.39189189,510.1351351,3537,559,0,0.015315013,37,1.689189189,,0.053843416,0.036766788
969,710,303,27,511.8243243,45.60810811,3537,3537,0.032331694,0,37,1.689189189,,,
1026,373,57,337,96.28378378,569.2567568,559,3537,0.124872857,0.21426628,37,1.689189189,,,
1136,562,110,189,185.8108108,319.2567568,2047,2047,0.039690693,0,37,1.689189189,,,
1170,397,34,165,57.43243243,278.7162162,600,2047,0,0,37,1.689189189,,,
1170,398,0,1,0,1.689189189,800,2047,0.025337838,0,37,1.689189189,,,
1167,414,3,16,5.067567568,27.02702703,1000,2047,0.033783784,0,37,1.689189189,,,
1163,434,4,20,6.756756757,33.78378378,1200,2047,0.04222973,0,37,1.689189189,,,
1158,456,5,22,8.445945946,37.16216216,1400,2047,0.050675676,0,37,1.689189189,,,
1152,480,6,24,10.13513514,40.54054054,1600,2047,0.04222973,0,37,1.689189189,,,
1147,505,5,25,8.445945946,42.22972973,1800,2047,0.04222973,0,37,1.689189189,,,
1142,530,5,25,8.445945946,42.22972973,2000,2047,0.050675676,0,37,1.689189189,,,
1136,557,6,27,10.13513514,45.60810811,2200,2047,0.050675676,0,37,1.689189189,,,
1130,582,6,25,10.13513514,42.22972973,2400,2047,0.050675676,0,37,1.689189189,,,
1124,608,6,26,10.13513514,43.91891892,2600,2047,0.04222973,0,37,1.689189189,,,
1119,632,5,24,8.445945946,40.54054054,2800,2047,0.050675676,0,37,1.689189189,,,
1113,660,6,28,10.13513514,47.2972973,3000,2047,0.008223684,0,37,1.689189189,,,
1106,689,1,1,1.644736842,1.644736842,3200,2047,0.050675676,0,38,1.644736842,,,
1107,690,6,25,10.13513514,42.22972973,3400,2047,0.213489543,0.123741572,37,1.689189189,,,
1101,715,171,106,288.8513514,179.0540541,2047,600,0,0.04222973,37,1.689189189,,,
1272,609,4,5,6.756756757,8.445945946,2047,800,0,0.033783784,37,1.689189189,,,
1276,604,11,4,18.58108108,6.756756757,2047,1000,0,0.033783784,37,1.689189189,,,
1265,600,15,4,25.33783784,6.756756757,2047,1200,0,0.033783784,37,1.689189189,,,
1250,596,18,4,30.40540541,6.756756757,2047,1400,0,0.04222973,37,1.689189189,,,
1232,592,19,5,32.09459459,8.445945946,2047,1600,0,0.025337838,37,1.689189189,,,
1213,587,23,3,38.85135135,5.067567568,2047,1800,0,0.033783784,37,1.689189189,,,
1190,584,26,4,43.91891892,6.756756757,2047,2000,0,0.025337838,37,1.689189189,,,
1164,580,27,3,45.60810811,5.067567568,2047,2200,0,0.025337838,37,1.689189189,,,
1137,577,26,3,43.91891892,5.067567568,2047,2400,0,0.033783784,37,1.689189189,,,
1111,574,25,4,42.22972973,6.756756757,2047,2600,0,0.016891892,37,1.689189189,,,
1086,570,25,2,42.22972973,3.378378378,2047,2800,0,0.033783784,37,1.689189189,,,
1061,568,26,4,43.91891892,6.756756757,2047,3000,0,0.033783784,37,1.689189189,,,
1035,564,28,4,47.2972973,6.756756757,2047,3200,0,0.04222973,37,1.689189189,,,
1007,560,22,5,37.16216216,8.445945946,2047,3400,0,0.008445946,37,1.689189189,,,
985,555,146,1,246.6216216,1.689189189,N/A,N/A,N/A,N/A,37,1.689189189,,,
1131,556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,X Coords,Y Coords,,,x,y,,,,,,,
,,1026,660,,,1130,589,,,,,,,
,,1130,589,,,1319,435,,,,,,,
,,882,453,,,1272,737,,,,,,,
,,886,459,,,969,710,,,,,,,
,,1218,441,,,1026,373,,,,,,,
,,1049,430,,,1136,562,,,,,,,
,,,,,,,,,,,,,,
,,,,,,886,459,,,,,,,
,,,,,,687,180,,,,,,,
,,,,,,1143,242,,,,,,,
,,,,,,1088,753,,,,,,,
,,,,,,569,677,,,,,,,
,,,,,,862,489,,,,,,,
,,,,,,,,,,,,,,
,,,,,,1049,430,,,,,,,
,,,,,,716,129,,,,,,,
,,,,,,1298,120,,,,,,,
,,,,,,1328,682,,,,,,,
,,,,,,651,667,,,,,,,
,,,,,,980,439,,,,,,,
