X Coord,Y Coord,Movement X (pixels),Movement Y (pixel),Microns Moved X,Microns Moved Y,X DAC Value,Y DAC Value,Microns Per ADU X,Microns Per ADU Y,Detected Circle Radii (pixel),Detected Pixel Size (microns/pixel)
633,633,,,,,,,,,,
850,570,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,1.689189189
849,565,1,5,1.689189189,8.445945946,2047,2047,N/A,N/A,37,1.689189189
902,981,53,416,89.52702703,702.7027027,559,559,0.060166013,0.47224644,37,1.689189189
775,195,127,786,214.527027,1327.702703,3537,3537,0.072037282,0.445837039,37,1.689189189
421,594,354,399,597.972973,673.9864865,3537,559,0,0.226321856,37,1.689189189
1237,592,816,2,1378.378378,3.378378378,559,3537,0.46285372,0.001134445,37,1.689189189
867,564,370,28,625,47.2972973,2047,2047,0.420026882,0.031743153,37,1.689189189
1080,746,213,182,359.7972973,307.4324324,600,2047,0.248650516,0,37,1.689189189
1077,745,3,1,5.067567568,1.689189189,800,2047,0.025337838,0,37,1.689189189
1059,728,18,17,30.40540541,28.71621622,1000,2047,0.152027027,0,37,1.689189189
1034,709,25,19,42.22972973,32.09459459,1200,2047,0.211148649,0,37,1.689189189
1007,687,27,22,45.60810811,37.16216216,1400,2047,0.228040541,0,37,1.689189189
977,662,30,25,50.67567568,42.22972973,1600,2047,0.253378378,0,37,1.689189189
944,635,33,27,55.74324324,45.60810811,1800,2047,0.278716216,0,37,1.689189189
909,606,35,29,59.12162162,48.98648649,2000,2047,0.295608108,0,37,1.689189189
875,575,34,31,57.43243243,52.36486486,2200,2047,0.287162162,0,37,1.689189189
840,543,35,32,59.12162162,54.05405405,2400,2047,0.295608108,0,37,1.689189189
803,511,37,32,62.5,54.05405405,2600,2047,0.3125,0,37,1.689189189
763,475,40,36,67.56756757,60.81081081,2800,2047,0.337837838,0,37,1.689189189
718,434,45,41,76.01351351,69.25675676,3000,2047,0.380067568,0,37,1.689189189
673,394,45,40,76.01351351,67.56756757,3200,2047,0.380067568,0,37,1.689189189
635,359,38,35,64.18918919,59.12162162,3400,2047,0.320945946,0,37,1.689189189
670,711,35,352,59.12162162,594.5945946,2047,600,0.04369669,0.410915407,37,1.689189189
666,723,4,12,6.756756757,20.27027027,2047,800,0,0.101351351,37,1.689189189
678,709,12,14,20.27027027,23.64864865,2047,1000,0,0.118243243,37,1.689189189
695,689,17,20,28.71621622,33.78378378,2047,1200,0,0.168918919,37,1.689189189
715,665,20,24,33.78378378,40.54054054,2047,1400,0,0.202702703,37,1.689189189
737,639,22,26,37.16216216,43.91891892,2047,1600,0,0.219594595,37,1.689189189
759,611,22,28,37.16216216,47.2972973,2047,1800,0,0.236486486,37,1.689189189
782,582,23,29,38.85135135,48.98648649,2047,2000,0,0.244932432,37,1.689189189
806,551,24,31,40.54054054,52.36486486,2047,2200,0,0.261824324,37,1.689189189
830,520,24,31,40.54054054,52.36486486,2047,2400,0,0.261824324,37,1.689189189
853,490,23,30,38.85135135,50.67567568,2047,2600,0,0.253378378,37,1.689189189
880,457,27,33,45.60810811,55.74324324,2047,2800,0,0.278716216,37,1.689189189
909,420,29,37,48.98648649,62.5,2047,3000,0,0.3125,37,1.689189189
937,384,28,36,47.2972973,60.81081081,2047,3200,0,0.304054054,37,1.689189189
962,352,25,32,42.22972973,54.05405405,2047,3400,0,0.27027027,37,1.689189189
844,545,118,193,199.3243243,326.0135135,2047,2047,0,0.240956034,37,1.689189189
