X Coord,Y Coord,Movement X (pixels),Movement Y (pixel),X DAC Value,Y DAC Value,Microns Moved X,Microns Moved Y,Microns Per ADU X,Microns Per ADU Y,Detected Circle Radii (pixel),Detected Pixel Size (microns/pixel),,,,,,,,,,,,,
1201,438,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38,1.644736842,,,,,,,,,,,,,
1218,441,17,3,N/A,N/A,N/A,N/A,N/A,N/A,38,1.644736842,,,,,,,,,,,,,
1049,430,169,11,2047,2047,27.96052632,4.934210526,0.368076188,0.332705504,38,1.644736842,,,,,,,,,,,,,
716,129,333,301,559,559,277.9605263,18.09210526,0.321436146,0,38,1.644736842,,,,,,,,,,,,,
1298,120,582,9,3537,559,547.6973684,495.0657895,0,0.31039023,38,1.644736842,,,FTA #,Amp off X(?m),Amp Off Y(?m),Amp on X(?m),Amp on Y(?m),Max Throw X(?m),Max Throw Y(?m),Average Gain X(?m/ADU),Average Gain Y(?m/ADU),Gain Offset X(?m/ADU),Gain Offset Y(?m/ADU)
1328,682,30,562,3537,3537,957.2368421,14.80263158,0.373904245,0,38,1.644736842,,,4,0,0,0,0,0,0,0.259,0.416,0,0
651,667,677,15,559,3537,49.34210526,924.3421053,0.363654853,0.251677852,38,1.644736842,,,2,236,340,401,214,-342,-271,0.058,0.037,-0.200,-0.380
980,439,329,228,2047,2047,1113.486842,24.67105263,0.32962936,0,38,1.644736842,,,6,552,-20,268,-48,436,84,0.387,0.280,0.128,-0.137
690,421,290,18,600,2047,541.1184211,375,0,0,38,1.644736842,,,,,,,,,,,,,
693,419,0,1,800,2047,476.9736842,29.60526316,0,0,38,1.644736842,,,,,,,,,,,,,
693,420,0,1,1000,2047,0,1.644736842,0.279605263,0,38,1.644736842,,,,,,,,,,,,,
721,419,34,1,1200,2047,0,1.644736842,0.296052632,0,38,1.644736842,,,,,,,,,,,,,
721,420,36,1,1400,2047,55.92105263,1.644736842,0.337171053,0,38,1.644736842,,,,,,,,,,,,,
755,421,41,1,1600,2047,59.21052632,1.644736842,0.361842105,0,38,1.644736842,,,,,,,,,,,,,
791,422,44,2,1800,2047,67.43421053,1.644736842,0.386513158,0,38,1.644736842,,,,,,,,,,,,,
832,423,47,2,2000,2047,72.36842105,3.289473684,0.394736842,0,38,1.644736842,,,,,,,,,,,,,
876,425,48,3,2200,2047,77.30263158,3.289473684,0.411184211,0,38,1.644736842,,,,,,,,,,,,,
923,427,50,2,2400,2047,78.94736842,4.934210526,0.419407895,0,38,1.644736842,,,,,,,,,,,,,
971,430,51,3,2600,2047,82.23684211,3.289473684,0.452302632,0,38,1.644736842,,,,,,,,,,,,,
1021,432,55,2,2800,2047,83.88157895,4.934210526,0.518092105,0,38,1.644736842,,,,,,,,,,,,,
1072,435,63,4,3000,2047,90.46052632,3.289473684,0.485197368,0,38,1.644736842,,,,,,,,,,,,,
1127,437,59,3,3200,2047,103.6184211,6.578947368,0.386513158,0,38,1.644736842,,,,,,,,,,,,,
1190,441,47,2,3400,2047,97.03947368,4.934210526,0.302689929,0.295529771,38,1.644736842,,,,,,,,,,,,,
1249,444,249,260,2047,600,77.30263158,3.289473684,0,0.230263158,38,1.644736842,,,,,,,,,,,,,
1296,446,7,28,2047,800,409.5394737,427.6315789,0,0.139802632,38,1.644736842,,,,,,,,,,,,,
1047,186,2,17,2047,1000,11.51315789,46.05263158,0,0.213815789,38,1.644736842,,,,,,,,,,,,,
1040,158,2,26,2047,1200,3.289473684,27.96052632,0,0.246710526,38,1.644736842,,,,,,,,,,,,,
1038,175,1,30,2047,1400,3.289473684,42.76315789,0,0.287828947,38,1.644736842,,,,,,,,,,,,,
1036,201,1,35,2047,1600,1.644736842,49.34210526,0,0.304276316,38,1.644736842,,,,,,,,,,,,,
1035,231,1,37,2047,1800,1.644736842,57.56578947,0,0.328947368,38,1.644736842,,,,,,,,,,,,,
1034,266,0,40,2047,2000,1.644736842,60.85526316,0,0.337171053,38,1.644736842,,,,,,,,,,,,,
1033,303,0,41,2047,2200,0,65.78947368,0,0.328947368,38,1.644736842,,,,,,,,,,,,,
1033,343,0,40,2047,2400,0,67.43421053,0,0.353618421,38,1.644736842,,,,,,,,,,,,,
1033,384,1,43,2047,2600,0,65.78947368,0,0.394736842,38,1.644736842,,,,,,,,,,,,,
1033,424,1,48,2047,2800,1.644736842,70.72368421,0,0.008223684,38,1.644736842,,,,,,,,,,,,,
1034,467,0,1,2047,3000,1.644736842,78.94736842,0,0.411184211,38,1.644736842,,,,,,,,,,,,,
1035,515,1,50,2047,3200,0,1.644736842,0,0.3125,38,1.644736842,,,,,,,,,,,,,
1035,569,1,38,2047,3400,1.644736842,82.23684211,0,1.998355263,38,1.644736842,,,,,,,,,,,,,
1035,570,34,243,N/A,N/A,1.644736842,62.5,N/A,N/A,38,1.644736842,,,,,,,,,,,,,
