X Coord,Y Coord,Movement X (pixels),Movement Y (pixel),Microns Moved X,Microns Moved Y,X DAC Value,Y DAC Value,Microns Per ADU X,Microns Per ADU Y,Detected Circle Radii (pixel),Detected Pixel Size (microns/pixel)
763,664,28,7,47.2972972972973,11.824324324324325,2047,2047,0.2618810085253038,0.036277888626881916,37,1.6891891891891893
735,671,23,6,38.851351351351354,10.135135135135135,3537,3537,0.09983119452562031,0,37,1.6891891891891893
758,665,27,6,45.60810810810811,10.135135135135135,559,3537,0.06749950084402737,0.3102708148040586,37,1.6891891891891893
731,671,26,6,43.91891891891892,10.135135135135135,3537,559,0.13102844281487666,0,37,1.6891891891891893
757,665,30,7,50.67567567567568,11.824324324324325,559,559,0.3280750508573089,0.045408311537343794,37,1.6891891891891893
727,672,231,32,390.2027027027027,54.054054054054056,2047,2047,0.04086748038360942,0.007946454519035164,37,1.6891891891891893
496,704,176,310,297.2972972972973,523.6486486486486,N/A,N/A,N/A,N/A,37,1.6891891891891893
672,394,119,547,201.01351351351352,923.9864864864866,N/A,N/A,N/A,N/A,37,1.6891891891891893
791,941,231,320,390.2027027027027,540.5405405405405,N/A,N/A,N/A,N/A,37,1.6891891891891893
1022,621,289,40,488.1756756756757,67.56756756756756,N/A,N/A,N/A,N/A,37,1.6891891891891893
733,661,36,7,60.810810810810814,11.824324324324325,N/A,N/A,N/A,N/A,37,1.6891891891891893
769,654,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,1.6891891891891893
