Frame,Centroid_X,Centroid_Y,Movement_X (dX),Movement_Y (dY),Movement (pixels),Original_FPS,Playback_FPS,Actual_Playback_Time_s,Actual_FPS,Actual_Slowdown_Factor
0,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
1,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
2,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
3,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
4,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
5,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
6,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
7,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
8,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
9,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
10,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
11,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
12,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
13,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
14,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
15,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
16,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
17,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
18,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
19,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
20,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
21,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
22,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
23,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
24,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
25,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
26,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
27,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
28,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
29,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
30,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
31,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
32,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
33,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
34,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
35,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
36,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
37,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
38,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
39,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
40,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
41,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
42,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
43,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
44,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
45,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
46,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
47,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
48,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
49,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
50,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
51,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
52,166,132,0,0,0,138.2290458,30,13.62955451,30,4.60763486
