Frame,Centroid_X,Centroid_Y,Movement_X (dX),Movement_Y (dY),Movement (pixels),Original_FPS,Playback_FPS,Actual_Playback_Time_s,Actual_FPS,Actual_Slowdown_Factor
0,90,96,0,0,0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
1,90,96,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
2,90,96,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
3,90,96,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
4,90,95,0,-1,1.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
5,90,95,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
6,90,95,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
7,90,95,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
8,90,95,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
9,90,95,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
10,90,94,0,-1,1.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
11,90,94,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
12,90,94,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
13,90,94,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
14,90,94,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
15,90,94,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
16,90,93,0,-1,1.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
17,90,93,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
18,90,93,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
19,90,93,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
20,90,93,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
21,90,92,0,-1,1.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
22,90,92,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
23,90,92,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
24,90,92,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
25,90,92,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
26,90,91,0,-1,1.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
27,90,91,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
28,90,91,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
29,90,91,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
30,90,91,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
31,90,91,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
32,90,90,0,-1,1.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
33,90,90,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
34,90,90,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
35,90,90,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
36,90,90,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
37,90,89,0,-1,1.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
38,90,89,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
39,90,89,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
40,90,89,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
41,90,89,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
42,90,88,0,-1,1.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
43,90,88,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
44,90,88,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
45,90,88,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
46,90,87,0,-1,1.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
47,90,87,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
48,90,87,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
49,90,87,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
50,90,87,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
51,90,86,0,-1,1.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
52,90,86,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
53,90,86,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
54,90,86,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
55,90,86,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
56,90,85,0,-1,1.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
57,90,85,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
58,90,85,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
59,90,85,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
60,90,85,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
61,90,85,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
62,90,84,0,-1,1.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
63,90,84,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
64,90,84,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
65,90,84,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
66,90,84,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
67,90,84,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
68,90,83,0,-1,1.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
69,90,83,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
70,90,83,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
71,90,83,0,0,0.0,236.5513712254624,30,19.59812641143799,30,7.885045707515413
