Frame,Centroid_X,Centroid_Y,Movement_X (dX),Movement_Y (dY),Movement (pixels),Original_FPS,Playback_FPS,Actual_Playback_Time_s,Actual_FPS,Actual_Slowdown_Factor
0,152,107,0,0,0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
1,152,107,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
2,152,107,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
3,152,107,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
4,152,107,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
5,152,109,0,2,2.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
6,152,109,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
7,152,110,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
8,152,112,0,2,2.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
9,152,113,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
10,153,115,1,2,2.23606797749979,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
11,152,116,-1,1,1.4142135623730951,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
12,153,117,1,1,1.4142135623730951,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
13,153,118,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
14,153,119,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
15,153,120,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
16,153,120,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
17,153,120,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
18,153,120,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
19,153,120,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
20,153,119,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
21,153,118,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
22,152,117,-1,-1,1.4142135623730951,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
23,152,116,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
24,152,114,0,-2,2.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
25,152,113,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
26,152,111,0,-2,2.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
27,152,111,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
28,152,110,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
29,152,108,0,-2,2.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
30,152,107,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
31,152,106,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
32,152,105,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
33,152,105,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
34,152,104,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
35,152,105,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
36,152,105,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
37,152,105,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
38,152,105,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
39,152,106,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
40,152,107,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
41,152,109,0,2,2.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
42,152,110,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
43,152,112,0,2,2.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
44,152,113,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
45,153,115,1,2,2.23606797749979,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
46,152,116,-1,1,1.4142135623730951,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
47,153,118,1,2,2.23606797749979,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
48,153,119,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
49,153,120,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
50,153,120,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
51,153,120,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
52,153,120,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
53,153,120,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
54,153,119,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
55,153,118,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
56,152,117,-1,-1,1.4142135623730951,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
57,152,115,0,-2,2.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
58,152,115,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
59,152,114,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
60,152,113,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
61,152,111,0,-2,2.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
62,152,109,0,-2,2.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
63,152,108,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
64,152,107,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
65,152,106,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
66,152,105,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
67,152,105,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
68,152,104,0,-1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
69,152,105,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
70,152,105,0,0,0.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
71,152,106,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
72,152,107,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
73,152,108,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
74,152,109,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
75,152,110,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
76,152,112,0,2,2.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
77,152,114,0,2,2.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
78,152,115,0,1,1.0,35.45602707498139,30,2.843400716781616,30,1.1818675691660465
