Frame,Centroid_X,Centroid_Y,Movement (pixels)
0,82,118,0
1,82,118,0.0
2,82,118,0.0
3,82,118,0.0
4,83,117,1.4142135623730951
5,81,118,2.23606797749979
6,81,118,0.0
7,82,118,1.0
8,81,118,1.0
9,83,117,2.23606797749979
10,82,118,1.4142135623730951
11,82,118,0.0
12,81,118,1.0
13,82,118,1.0
14,81,118,1.0
15,82,117,1.4142135623730951
16,81,118,1.4142135623730951
17,83,117,2.23606797749979
18,82,118,1.4142135623730951
19,82,118,0.0
20,82,118,0.0
21,82,117,1.0
22,83,117,1.0
23,82,118,1.4142135623730951
24,82,118,0.0
25,81,118,1.0
26,81,118,0.0
27,82,118,1.0
28,82,117,1.0
29,82,117,0.0
30,82,118,1.0
31,83,117,1.4142135623730951
32,82,118,1.4142135623730951
33,82,117,1.0
34,82,117,0.0
35,81,119,2.23606797749979
36,82,118,1.4142135623730951
37,82,118,0.0
38,82,118,0.0
39,83,117,1.4142135623730951
40,82,118,1.4142135623730951
41,83,117,1.4142135623730951
42,82,118,1.4142135623730951
43,81,118,1.0
44,82,118,1.0
45,81,118,1.0
46,82,118,1.0
47,82,117,1.0
48,81,118,1.4142135623730951
49,81,118,0.0
50,82,117,1.4142135623730951
51,82,117,0.0
52,82,118,1.0
53,83,117,1.4142135623730951
54,82,118,1.4142135623730951
55,81,118,1.0
56,82,118,1.0
57,83,117,1.4142135623730951
58,81,118,2.23606797749979
59,82,118,1.0
60,82,118,0.0
61,81,118,1.0
62,82,117,1.4142135623730951
63,81,118,1.4142135623730951
64,81,118,0.0
65,82,117,1.4142135623730951
66,82,118,1.0
67,82,118,0.0
68,81,118,1.0
69,81,118,0.0
70,82,118,1.0
71,82,117,1.0
72,82,118,1.0
73,82,118,0.0
74,81,118,1.0
75,81,118,0.0
76,82,118,1.0
77,82,118,0.0
78,82,118,0.0
79,82,118,0.0
80,82,118,0.0
81,81,118,1.0
82,82,118,1.0
83,82,118,0.0
84,81,118,1.0
85,82,118,1.0
86,82,118,0.0
87,81,118,1.0
88,83,117,2.23606797749979
89,82,118,1.4142135623730951
90,81,118,1.0
91,82,118,1.0
92,82,117,1.0
93,82,117,0.0
94,81,118,1.4142135623730951
95,82,118,1.0
96,82,118,0.0
97,82,118,0.0
98,82,118,0.0
99,82,118,0.0
100,81,118,1.0
101,82,118,1.0
102,82,118,0.0
103,82,118,0.0
104,82,118,0.0
105,82,118,0.0
106,83,117,1.4142135623730951
107,82,118,1.4142135623730951
108,81,118,1.0
109,82,118,1.0
110,81,119,1.4142135623730951
111,81,118,1.0
112,82,118,1.0
113,82,118,0.0
114,81,118,1.0
115,82,117,1.4142135623730951
116,82,117,0.0
117,82,117,0.0
118,81,118,1.4142135623730951
119,83,117,2.23606797749979
120,82,118,1.4142135623730951
121,82,117,1.0
122,81,118,1.4142135623730951
123,81,118,0.0
124,83,117,2.23606797749979
125,82,118,1.4142135623730951
126,82,118,0.0
127,81,118,1.0
128,81,118,0.0
129,82,118,1.0
130,82,118,0.0
131,83,117,1.4142135623730951
132,82,118,1.4142135623730951
133,82,118,0.0
134,82,118,0.0
135,82,118,0.0
136,82,118,0.0
137,82,117,1.0
138,82,118,1.0
139,82,118,0.0
140,82,117,1.0
141,81,118,1.4142135623730951
142,82,118,1.0
143,81,118,1.0
144,82,118,1.0
145,81,118,1.0
146,82,118,1.0
147,81,118,1.0
148,82,118,1.0
149,82,118,0.0
150,82,118,0.0
151,81,118,1.0
152,82,118,1.0
153,82,117,1.0
154,82,118,1.0
155,81,118,1.0
156,82,118,1.0
157,82,118,0.0
158,81,118,1.0
159,81,118,0.0
160,82,118,1.0
161,82,118,0.0
162,83,117,1.4142135623730951
163,81,118,2.23606797749979
164,82,118,1.0
165,82,118,0.0
166,81,118,1.0
167,81,118,0.0
168,81,118,0.0
169,82,117,1.4142135623730951
170,83,117,1.0
171,83,117,0.0
172,83,117,0.0
173,81,118,2.23606797749979
174,81,118,0.0
175,82,118,1.0
176,82,118,0.0
177,82,117,1.0
178,82,118,1.0
179,82,118,0.0
180,81,118,1.0
181,82,117,1.4142135623730951
182,81,118,1.4142135623730951
183,82,117,1.4142135623730951
184,82,118,1.0
185,82,118,0.0
186,81,118,1.0
187,81,118,0.0
188,83,117,2.23606797749979
189,82,118,1.4142135623730951
190,82,118,0.0
191,82,117,1.0
192,82,117,0.0
193,82,118,1.0
194,82,118,0.0
195,82,117,1.0
196,82,118,1.0
197,82,118,0.0
198,82,117,1.0
199,83,117,1.0
200,82,118,1.4142135623730951
201,82,118,0.0
202,81,118,1.0
203,82,118,1.0
204,82,117,1.0
205,82,118,1.0
206,81,118,1.0
207,81,118,0.0
208,82,118,1.0
209,82,118,0.0
210,82,118,0.0
211,82,118,0.0
212,83,117,1.4142135623730951
213,82,118,1.4142135623730951
214,81,118,1.0
215,82,117,1.4142135623730951
216,81,118,1.4142135623730951
217,82,118,1.0
218,82,118,0.0
219,82,118,0.0
220,82,118,0.0
221,82,118,0.0
222,82,118,0.0
223,83,117,1.4142135623730951
224,83,117,0.0
225,82,118,1.4142135623730951
226,82,118,0.0
227,82,117,1.0
228,81,118,1.4142135623730951
229,82,118,1.0
230,81,118,1.0
231,81,119,1.0
232,82,118,1.4142135623730951
233,81,118,1.0
234,82,118,1.0
235,81,118,1.0
236,81,118,0.0
237,82,118,1.0
238,82,118,0.0
239,81,118,1.0
240,82,117,1.4142135623730951
241,82,118,1.0
242,82,118,0.0
243,82,118,0.0
244,82,118,0.0
245,83,117,1.4142135623730951
246,81,118,2.23606797749979
247,83,117,2.23606797749979
248,82,117,1.0
249,81,118,1.4142135623730951
250,82,118,1.0
251,82,118,0.0
252,82,117,1.0
253,82,118,1.0
254,82,118,0.0
255,83,117,1.4142135623730951
256,82,118,1.4142135623730951
257,83,118,1.0
258,83,117,1.0
259,83,117,0.0
260,82,117,1.0
261,82,118,1.0
262,82,118,0.0
263,82,117,1.0
264,82,118,1.0
265,83,117,1.4142135623730951
266,83,117,0.0
267,82,118,1.4142135623730951
268,83,117,1.4142135623730951
269,82,118,1.4142135623730951
270,81,118,1.0
271,82,118,1.0
272,82,118,0.0
273,82,118,0.0
274,82,117,1.0
275,82,118,1.0
276,82,118,0.0
277,82,118,0.0
278,83,117,1.4142135623730951
279,82,118,1.4142135623730951
280,82,118,0.0
281,83,117,1.4142135623730951
282,83,117,0.0
283,82,118,1.4142135623730951
284,82,118,0.0
285,82,118,0.0
286,82,118,0.0
287,82,118,0.0
288,82,118,0.0
289,82,117,1.0
290,81,118,1.4142135623730951
291,82,118,1.0
292,83,117,1.4142135623730951
293,82,117,1.0
294,82,118,1.0
295,83,117,1.4142135623730951
296,82,118,1.4142135623730951
297,82,118,0.0
298,82,117,1.0
299,81,118,1.4142135623730951
300,82,118,1.0
301,82,118,0.0
302,82,118,0.0
303,82,118,0.0
304,81,118,1.0
305,82,117,1.4142135623730951
306,82,118,1.0
307,82,117,1.0
308,81,118,1.4142135623730951
309,81,118,0.0
310,81,118,0.0
311,83,117,2.23606797749979
312,82,118,1.4142135623730951
313,81,118,1.0
314,81,118,0.0
315,82,117,1.4142135623730951
316,82,118,1.0
317,82,118,0.0
318,82,118,0.0
319,82,118,0.0
320,82,117,1.0
321,82,118,1.0
322,81,118,1.0
323,81,118,0.0
324,82,118,1.0
325,82,118,0.0
326,82,118,0.0
327,82,117,1.0
328,82,118,1.0
329,81,118,1.0
330,82,117,1.4142135623730951
331,81,118,1.4142135623730951
332,82,118,1.0
333,82,118,0.0
334,82,118,0.0
335,82,118,0.0
336,82,118,0.0
337,82,118,0.0
338,82,117,1.0
339,81,118,1.4142135623730951
340,82,118,1.0
341,82,118,0.0
342,81,118,1.0
343,82,118,1.0
344,82,118,0.0
345,82,117,1.0
346,82,118,1.0
347,82,118,0.0
348,82,118,0.0
349,82,118,0.0
350,82,118,0.0
351,82,117,1.0
352,81,118,1.4142135623730951
353,82,118,1.0
354,82,118,0.0
355,82,118,0.0
356,82,118,0.0
357,83,117,1.4142135623730951
358,83,117,0.0
359,82,118,1.4142135623730951
360,81,118,1.0
361,81,117,1.0
362,81,118,1.0
363,81,118,0.0
364,82,118,1.0
365,82,117,1.0
366,83,117,1.0
367,82,118,1.4142135623730951
368,83,117,1.4142135623730951
369,81,118,2.23606797749979
370,82,118,1.0
371,83,117,1.4142135623730951
372,82,118,1.4142135623730951
373,82,118,0.0
374,81,118,1.0
375,82,118,1.0
376,81,118,1.0
377,82,117,1.4142135623730951
378,82,118,1.0
379,81,118,1.0
380,82,117,1.4142135623730951
381,82,118,1.0
382,81,118,1.0
383,82,118,1.0
384,82,118,0.0
385,81,118,1.0
386,83,117,2.23606797749979
387,82,118,1.4142135623730951
388,83,117,1.4142135623730951
389,81,118,2.23606797749979
390,82,118,1.0
391,82,118,0.0
392,82,118,0.0
393,82,118,0.0
394,81,118,1.0
395,82,117,1.4142135623730951
396,82,118,1.0
397,81,118,1.0
398,81,118,0.0
399,82,118,1.0
400,83,117,1.4142135623730951
401,83,117,0.0
402,82,118,1.4142135623730951
403,82,118,0.0
404,82,118,0.0
405,82,118,0.0
406,83,117,1.4142135623730951
407,82,118,1.4142135623730951
408,82,118,0.0
409,82,118,0.0
410,81,118,1.0
411,81,118,0.0
412,81,118,0.0
413,82,118,1.0
414,82,118,0.0
415,82,118,0.0
416,82,118,0.0
417,81,118,1.0
418,82,118,1.0
419,81,118,1.0
420,82,118,1.0
421,82,117,1.0
422,81,118,1.4142135623730951
423,83,117,2.23606797749979
424,82,117,1.0
425,82,118,1.0
426,83,117,1.4142135623730951
427,81,118,2.23606797749979
428,82,118,1.0
429,82,117,1.0
430,81,118,1.4142135623730951
431,82,118,1.0
432,82,118,0.0
433,82,118,0.0
434,82,118,0.0
435,82,117,1.0
436,82,118,1.0
437,82,118,0.0
438,82,118,0.0
439,82,117,1.0
440,82,118,1.0
441,82,117,1.0
442,81,118,1.4142135623730951
443,81,118,0.0
444,82,117,1.4142135623730951
445,82,118,1.0
446,82,118,0.0
447,81,118,1.0
448,81,118,0.0
449,82,118,1.0
450,82,117,1.0
451,83,117,1.0
452,82,118,1.4142135623730951
453,82,118,0.0
454,82,118,0.0
455,82,118,0.0
456,82,118,0.0
457,81,118,1.0
458,82,118,1.0
459,82,118,0.0
460,82,118,0.0
461,82,118,0.0
462,82,118,0.0
463,82,118,0.0
464,82,118,0.0
465,81,118,1.0
466,82,118,1.0
467,82,117,1.0
468,83,117,1.0
469,82,118,1.4142135623730951
470,81,118,1.0
471,81,118,0.0
472,82,118,1.0
473,81,118,1.0
474,83,117,2.23606797749979
475,82,117,1.0
476,82,118,1.0
477,81,118,1.0
478,82,117,1.4142135623730951
479,82,118,1.0
480,82,117,1.0
481,82,118,1.0
482,82,118,0.0
483,82,118,0.0
484,81,118,1.0
485,83,117,2.23606797749979
486,82,118,1.4142135623730951
487,82,117,1.0
488,82,117,0.0
489,81,118,1.4142135623730951
490,82,118,1.0
491,82,117,1.0
492,82,118,1.0
493,81,118,1.0
494,82,118,1.0
495,81,118,1.0
496,82,118,1.0
497,82,118,0.0
498,83,117,1.4142135623730951
499,82,118,1.4142135623730951
500,82,118,0.0
501,81,118,1.0
502,82,118,1.0
503,82,118,0.0
504,81,118,1.0
505,81,118,0.0
506,82,117,1.4142135623730951
507,82,118,1.0
508,83,117,1.4142135623730951
509,83,117,0.0
510,81,118,2.23606797749979
511,82,117,1.4142135623730951
512,82,118,1.0
513,82,118,0.0
514,82,118,0.0
515,81,119,1.4142135623730951
516,82,117,2.23606797749979
517,82,118,1.0
518,81,118,1.0
519,82,118,1.0
520,82,118,0.0
521,82,117,1.0
522,82,118,1.0
523,82,118,0.0
524,82,118,0.0
525,82,118,0.0
526,82,118,0.0
527,81,118,1.0
528,81,118,0.0
529,82,117,1.4142135623730951
530,81,119,2.23606797749979
531,82,117,2.23606797749979
532,82,117,0.0
533,82,117,0.0
534,83,117,1.0
535,81,118,2.23606797749979
536,82,118,1.0
537,82,118,0.0
538,82,118,0.0
539,83,117,1.4142135623730951
540,81,118,2.23606797749979
541,82,118,1.0
542,82,118,0.0
543,82,118,0.0
544,81,118,1.0
545,82,118,1.0
546,82,118,0.0
547,82,118,0.0
548,82,118,0.0
549,82,118,0.0
550,81,118,1.0
551,82,117,1.4142135623730951
552,82,118,1.0
553,82,118,0.0
554,83,117,1.4142135623730951
555,81,118,2.23606797749979
556,82,118,1.0
557,83,117,1.4142135623730951
558,81,118,2.23606797749979
559,81,118,0.0
560,82,118,1.0
561,81,118,1.0
562,81,118,0.0
563,82,118,1.0
564,82,118,0.0
565,82,117,1.0
566,82,117,0.0
567,82,118,1.0
568,82,118,0.0
569,81,118,1.0
570,81,118,0.0
571,82,117,1.4142135623730951
572,82,118,1.0
573,81,118,1.0
574,81,118,0.0
575,82,118,1.0
576,82,118,0.0
577,82,117,1.0
578,82,118,1.0
579,81,118,1.0
580,82,118,1.0
581,81,118,1.0
582,82,117,1.4142135623730951
583,81,118,1.4142135623730951
584,81,118,0.0
585,81,119,1.0
586,82,117,2.23606797749979
587,82,118,1.0
588,82,118,0.0
589,82,117,1.0
590,81,118,1.4142135623730951
591,82,118,1.0
592,82,118,0.0
